Ticker,Name,Country,Fundamental Score,ROE %,Sales Growth %,Profit Growth %,Profit Margin %,Debt/Equity,Trailing PE,Forward PE,Trailing EPS,Forward EPS,Improving Score,Revenue Trend,Earnings Trend,Margin Trend,ROE Trend,EPS Trend,Analyst Trend,Was Loss Now Profit,Latest Net Income,Latest Revenue,Latest EPS (Quarterly),Previous EPS (Quarterly)
SBILIFE.NS,SBI Life,India,70,13.703000000000001,18.8,21.8,2.1389998,,67.87062,50.471596,25.97,34.92261,-2,up,down,down,flat,down,down,False,7249300000.0,463503300000.0,7.22,8.02
ICICIPRULI.NS,ICICI Prudential Life,India,74,12.570999999999998,12.5,28.499999999999996,2.555,18.052,42.678726,34.79762,11.61,14.23948,1,flat,flat,flat,flat,flat,up,False,3861800000.0,285127100000.0,2.66,4.30497
BSE.NS,BSE,India,100,,64.0,62.1,48.918,0.0,45.12757,34.692444,68.59,89.22116,1,up,up,flat,flat,up,down,False,8740200000.0,15660200000.0,21.22,19.35
MCX.NS,MCX,India,100,,85.3,103.4,55.559999999999995,0.113,52.526943,39.20636,60.31,80.80067,2,up,up,down,flat,down,up,False,4134400000.0,7020000000.0,16.21,20.78
CDSL.NS,CDSL,India,89,,15.4,14.7,36.797999999999995,0.11,60.34636,45.48765,22.52,29.87624,2,up,up,flat,flat,up,flat,False,1175100000.0,2927600000.0,5.62,3.84
CAMS.NS,CAMS,India,87,,11.5,17.0,31.785000000000004,4.863,35.439697,26.991785,19.9,26.12832,0,down,up,down,flat,up,up,False,1280159000.0,3950295000.0,5.14,5.08
ABB.NS,ABB India,India,78,19.131,12.1,3.0,21.349001,1.547,96.93551,69.21683,74.89,104.88056,1,flat,flat,flat,flat,flat,up,False,3623000000.0,35210300000.0,17.09,84.18
SIEMENS.NS,Siemens India,India,92,,14.799999999999999,406.1,19.017,2.213,82.32052,57.52838,47.36,67.77003,1,up,up,flat,flat,up,down,False,21430000000.0,47137000000.0,60.18,10.4
CUMMINSIND.NS,Cummins India,India,79,,17.9,0.8999999999999999,18.694,0.431,59.664158,43.043213,85.16,118.04417,1,up,flat,down,flat,flat,up,False,6093000000.0,33749300000.0,21.98,23.43
KEI.NS,KEI Industries,India,87,,23.0,40.0,8.076,3.796,44.177227,31.36235,104.16,146.7205,1,flat,flat,up,flat,flat,flat,False,2741400000.0,31853420000.0,28.66,29.72
